title,channel,views,impressions,ctr,age_days
I Built an AI That Edits Faster Than Me — Proof,@CreatorLab,318000,3500000,9.1,14
My Thumbnail Got 11.2% CTR. Here's the Exact Test.,@DataTube,204000,2400000,8.5,9
I Tested 7 AI Tools — Only One Was Worth It,@ToolScout,176000,2100000,8.4,12
AI Wrote My Script and It Beat My Best Video,@ScriptAI,241000,3000000,8.0,11
I Gave AI My Channel for 7 Days — Here's What Happened,@RiskTake,289000,3700000,7.8,16
How to Grow on YouTube in 2024,@GrowFast,402000,9800000,4.1,40
Best AI Tools for Creators,@ListHub,355000,9100000,3.9,52
YouTube Algorithm Explained,@AlgoNerd,168000,4600000,3.7,33
Full Guide to Better Thumbnails,@DesignDaily,121000,3500000,3.5,28
Tips for New YouTubers,@StartUpTube,98000,3100000,3.2,45
